event_date,block,horizon_days,orientation,gap_shrank,leader_if_shrank,actual_price_closure,rolloff_closure,raw_state_closure,actual_return_bps,rolloff_segment_bps,actual_supports_closure,rolloff_supports_closure,rolloff_abs_gt_actual_abs
2022-05-25,A_DISCOVERY,1,G_POS,True,NONSPOT_LED,-0.0007759976057906268,0.031331408913859035,0.03055541130806841,7.759976057906268,313.31408913859036,False,True,True
2022-05-25,A_DISCOVERY,3,G_POS,True,SPOT_LED,0.022434679717130594,0.01157565476255842,0.034010334479689014,-224.34679717130592,115.7565476255842,True,True,False
2022-05-25,A_DISCOVERY,7,G_POS,True,NONSPOT_LED,-0.028552038233290857,0.011582081657558049,-0.01696995657573281,285.5203823329086,115.8208165755805,False,True,False
2022-05-28,A_DISCOVERY,1,G_POS,False,,-0.012982899277907986,0.012221060375992899,-0.0007618389019150868,129.82899277907987,122.21060375992899,False,True,False
2022-05-28,A_DISCOVERY,3,G_POS,True,NONSPOT_LED,-0.10656142015891536,-0.007981183223272492,-0.11454260338218784,1065.6142015891535,-79.81183223272492,False,False,False
2022-05-28,A_DISCOVERY,7,G_POS,True,NONSPOT_LED,-0.028775448805536667,-0.02242825282213091,-0.051203701627667575,287.75448805536666,-224.28252822130912,False,False,False
2022-06-02,A_DISCOVERY,1,G_POS,False,,0.02507741880570616,-0.029230663755373806,-0.004153244949667647,-250.7741880570616,-292.306637553738,True,False,True
2022-06-02,A_DISCOVERY,3,G_POS,False,,0.014212009546206456,-0.01022777804501331,0.0039842315011931455,-142.12009546206457,-102.27778045013311,True,False,False
2022-06-02,A_DISCOVERY,7,G_POS,True,NONSPOT_LED,-0.0018959089640953157,0.023652773077225752,0.021756864113130436,18.959089640953156,236.5277307722575,False,True,True
2022-06-05,A_DISCOVERY,1,G_POS,True,NONSPOT_LED,-0.047215358746944366,0.04463603483357076,-0.0025793239133736073,472.15358746944366,446.3603483357076,False,True,False
2022-06-05,A_DISCOVERY,3,G_POS,True,NONSPOT_LED,-0.015434588277038225,0.03800381867251353,0.022569230395475308,154.34588277038225,380.03818672513535,False,True,True
2022-06-05,A_DISCOVERY,7,G_POS,True,SPOT_LED,0.0669580523829019,0.019668541576032785,0.08662659395893468,-669.580523829019,196.68541576032786,True,True,False
2022-06-10,A_DISCOVERY,1,G_POS,True,SPOT_LED,0.019983883688290505,0.006989417211095589,0.026973300899386096,-199.83883688290504,69.89417211095589,True,True,False
2022-06-10,A_DISCOVERY,3,G_POS,True,SPOT_LED,0.20200236872654645,0.05808076800644403,0.2600831367329905,-2020.0236872654646,580.8076800644403,True,True,False
2022-06-10,A_DISCOVERY,7,G_POS,True,SPOT_LED,0.34497049375260724,-0.017024575514966146,0.3279459182376411,-3449.7049375260726,-170.24575514966145,True,False,False
2022-06-14,A_DISCOVERY,1,G_NEG,False,,-0.08159043860318844,-0.013716104354757746,-0.09530654295794619,-815.9043860318844,137.16104354757746,False,False,False
2022-06-14,A_DISCOVERY,3,G_NEG,True,NONSPOT_LED,-0.08894259381069163,0.029608468696746347,-0.05933412511394528,-889.4259381069163,-296.0846869674635,False,True,False
2022-06-14,A_DISCOVERY,7,G_NEG,True,SPOT_LED,-0.04937268561572169,0.2856363686386619,0.23626368302294018,-493.7268561572169,-2856.3636863866186,False,True,True
2022-06-17,A_DISCOVERY,1,G_NEG,False,,-0.08604049926736113,0.019983883688290505,-0.06605661557907062,-860.4049926736112,-199.83883688290504,False,True,False
