date,S_raw,O_raw,R_raw,L_raw,S_z,O_z,R_z,L_z,N,G,q95,extreme
2025-01-14,-0.020552411197136723,-0.09500000000000597,-0.1200000000000001,0.02229370719877255,-0.5722843451794485,0.26312125139535664,-1.1562698733884453,-0.16763461461616566,-0.16763461461616566,-0.4046497305632828,2.689359759368339,False
2025-01-15,0.04343375518554066,1.0100000000000051,-0.07000000000000028,0.02052751213448985,0.5172202725923531,0.6061878977574489,-0.5845586582130547,-0.2722814353516401,-0.2722814353516401,0.7895017079439932,2.6893239245564837,False
2025-01-16,0.05265162019980772,1.8599999999999994,0.010000000000000675,0.021488117896164952,0.6754089757279664,0.8700853180359769,0.19271164556474576,-0.21633152580120615,0.19271164556474576,0.4826973301632207,2.689288089744629,False
2025-01-17,0.11418968634339831,1.230000000000004,0.03999999999999915,0.02311597528974918,1.722916121540683,0.6744907594765974,0.4046944556859499,-0.12309846708537668,0.4046944556859499,1.318221665854733,2.689252254932774,False
2025-01-18,0.08913768151152346,5.000000000000007,0.13000000000000078,0.02318824905158465,1.2966326522228542,1.8513447289559668,1.2526256961708222,-0.11883417349791137,1.2526256961708222,0.044006956052031976,2.6892164201209194,False
2025-01-19,0.0992399740611848,3.769999999999996,0.13000000000000078,0.030255080617186018,1.468532679587291,1.468146745511986,1.1691173164261095,0.29812273816102497,1.1691173164261095,0.29941536316118156,2.6891805853090647,False
2025-01-20,0.15511947471345483,2.759999999999991,0.13000000000000078,0.027679609585645804,2.4133795281167623,1.1455513931018741,1.096047484149479,0.1210444024684399,1.096047484149479,1.3173320439672833,2.68914475049721,False
2025-01-21,0.0919435989085876,1.2150000000000034,0.13000000000000078,0.02915218497784524,1.339929843818171,0.6675292722801632,1.0960474841494727,0.18399127362165124,0.6675292722801632,0.6724005715380078,2.689108915685355,False
2025-01-22,0.04647175244407319,0.9300000000000068,0.11000000000000032,0.029188374905257115,0.5656821708924353,0.579350434458683,0.9274247942803202,0.1741031258622959,0.579350434458683,-0.013668263566247618,2.6890730808735,False
2025-01-23,0.056672364083465425,2.020000000000003,0.08000000000000007,0.03870635362302893,0.7377496683200185,0.9229463625632386,0.6744907594765952,0.6852479447310255,0.6852479447310255,0.05250172358899308,2.689037246061645,False
2025-01-24,0.006391382371886692,1.2449999999999974,-0.020000000000000462,0.047184068661070756,-0.10736677911497004,0.6815004786859343,-0.16862268986915255,1.126926257680656,0.6815004786859343,-0.7888672578009044,2.6890014112497904,False
2025-01-25,0.013479783784576647,1.1850000000000023,-0.03999999999999915,0.04858757828988622,0.008909725963270197,0.662807894127693,-0.3372453797382901,1.1779883714560377,0.662807894127693,-0.6538981681644228,2.688965576437935,False
