date,block,entry_utc,exit_utc,direction,G,q95,S_z,O_z,R_z,L_z,N,F_z,C_z,entry_price,exit_price,gross_bps,net10_bps,stress20_bps
2022-06-17,A_DISCOVERY,2022-06-17T18:00:00+00:00,2022-06-20T18:00:00+00:00,LONG,-2.7626319097302536,2.658619027503142,-4.2536114833100935,-3.2622800767015985,-1.49097957357984,-1.0636821053333196,-1.49097957357984,-1.6506037282841848,-0.3886263132315037,20592.59,19977.59,-298.65111673665126,-308.65111673665126,-318.65111673665126
2022-07-20,A_DISCOVERY,2022-07-20T18:00:00+00:00,2022-07-23T18:00:00+00:00,SHORT,2.9004378229613477,2.690943075438232,2.6333139961950454,0.36288133258865246,-0.6438320885912967,-0.2671238267663022,-0.2671238267663022,0.595341847550261,-1.012215020624602,23515.48,22031.84,630.9205680683527,620.9205680683527,610.9205680683527
2022-11-09,A_DISCOVERY,2022-11-09T18:00:00+00:00,2022-11-12T18:00:00+00:00,LONG,-2.8597291759701697,2.5390306453020326,-3.1710326034209046,-2.3267581804110278,-0.3113034274507351,0.4165181782512357,-0.3113034274507351,-3.85461494788323,0.8882962752447595,16954.94,16891.69,-37.304761915996075,-47.304761915996075,-57.304761915996075
2022-11-12,A_DISCOVERY,2022-11-12T18:00:00+00:00,2022-11-15T18:00:00+00:00,LONG,-4.268353674168905,2.65629089306379,-4.062922815517365,-2.9897155323474895,2.4011871037366803,0.20543085865154023,0.20543085865154023,-0.2805201856656658,0.9190329242646648,16891.69,16999.24,63.670360988157256,53.670360988157256,43.670360988157256
2022-11-15,A_DISCOVERY,2022-11-15T18:00:00+00:00,2022-11-18T18:00:00+00:00,LONG,-3.2926978845554755,2.6915091198120162,-3.0412372347460956,-0.7966594467535457,1.7121688509790471,0.2514606498093797,0.2514606498093797,-2.726193472180251,0.9190329242646648,16999.24,16596.06,-237.1753090138151,-247.1753090138151,-257.1753090138151
2023-01-14,B_REPLICATION_2023,2023-01-14T18:00:00+00:00,2023-01-17T18:00:00+00:00,SHORT,3.9284649501524043,2.6579130044616583,4.321917893180419,2.342222820145874,0.3934529430280151,-0.3893464988198913,0.3934529430280151,4.084569264243107,0.6426724970134858,20755.78,21222.39,-224.80966747575826,-234.80966747575826,-244.80966747575826
2023-01-17,B_REPLICATION_2023,2023-01-17T18:00:00+00:00,2023-01-20T18:00:00+00:00,SHORT,3.798593843754692,2.713801195551004,4.2091534364795775,1.9664666361481242,0.41055959272488574,-0.04198980819825974,0.41055959272488574,1.4009579188438477,0.6426724970134858,21222.39,21353.62,-61.83563679679871,-71.83563679679871,-81.83563679679871
2023-02-10,B_REPLICATION_2023,2023-02-10T18:00:00+00:00,2023-02-13T18:00:00+00:00,LONG,-2.958993517111224,2.7518477291442105,-1.9650796119079235,1.1413239643317223,-2.8665857277755333,0.9939139052033007,0.9939139052033007,1.1765292771726716,-0.12983614343976993,21693.04,21460.44,-107.22333061664146,-117.22333061664146,-127.22333061664146
2023-03-17,B_REPLICATION_2023,2023-03-17T18:00:00+00:00,2023-03-20T18:00:00+00:00,SHORT,3.8783078150996,2.7165814603895826,5.0,1.1216921849003998,5.0,-0.4996773193620838,1.1216921849003998,0.4005146873807315,0.6311705654467021,26487.39,27623.82,-429.0456704114676,-439.0456704114676,-449.0456704114676
2023-03-22,B_REPLICATION_2023,2023-03-22T18:00:00+00:00,2023-03-25T18:00:00+00:00,SHORT,3.1995660774345405,2.8041310506782153,3.6901048115993453,1.5838347069079708,0.4905387341648049,0.07884607460800497,0.4905387341648049,-0.6938228191634049,0.9127226613966541,28516.34,27481.57,362.8691480042667,352.8691480042667,342.8691480042667
2023-06-23,B_REPLICATION_2023,2023-06-23T18:00:00+00:00,2023-06-26T18:00:00+00:00,SHORT,3.0707221769854085,2.7221419900667456,3.4454392655835226,0.23343531985142826,0.37471708859811437,0.552633896473375,0.37471708859811437,0.7838965720125832,0.08374401799762354,31241.1,30084.63,370.1758260752652,360.1758260752652,350.1758260752652
2023-08-18,B_REPLICATION_2023,2023-08-18T18:00:00+00:00,2023-08-21T18:00:00+00:00,LONG,-2.7705708678972982,2.6891805853090647,-3.127654211149613,-0.0965447557682181,-0.3570833432523147,-1.9536179288057336,-0.3570833432523147,-0.30826461978959135,-1.3710797609467344,26012.01,26050.7,14.873898633747107,4.873898633747107,-5.126101366252893
2023-09-05,B_REPLICATION_2023,2023-09-05T18:00:00+00:00,2023-09-08T18:00:00+00:00,LONG,-3.8762490730220422,2.6933505921807868,-2.4951489464747345,-1.3126673650890488,1.3811001265473075,2.6423129471916345,1.3811001265473075,-0.9590979064816755,0.25299176390015843,25749.09,25829.01,31.037990080424738,21.037990080424738,11.037990080424738
2023-10-11,B_REPLICATION_2023,2023-10-11T18:00:00+00:00,2023-10-14T18:00:00+00:00,LONG,-2.7660950327144795,2.6893955941801937,-0.9598049624065504,-0.025688612909755024,2.3347757058804928,1.8062900703079292,1.8062900703079292,0.40338927514121725,-0.36572744481914277,26632.27,26889.51,96.58958849545928,86.58958849545928,76.58958849545928
2023-10-18,B_REPLICATION_2023,2023-10-18T18:00:00+00:00,2023-10-21T18:00:00+00:00,SHORT,3.2245274779463324,2.6926090300556758,2.0965109355934026,-1.12801654235293,-2.0234722784297756,0.8601541135490438,-1.12801654235293,-1.2969687311503726,-0.8753346745087213,28330.04,30146.67,-641.2380639067217,-651.2380639067217,-661.2380639067217
2023-10-24,B_REPLICATION_2023,2023-10-24T18:00:00+00:00,2023-10-27T18:00:00+00:00,SHORT,3.988263860785117,2.7138011955509977,5.0,0.32504844014559275,1.011736139214883,1.7434121311206194,1.011736139214883,1.0993668284382303,-2.0721062988902506,33786.35,33600.14,55.11397354256986,45.11397354256986,35.11397354256986
2023-10-29,B_REPLICATION_2023,2023-10-29T18:00:00+00:00,2023-11-01T18:00:00+00:00,SHORT,2.9950835364568653,2.766542616232761,4.456480181989475,1.423663582121045,1.4613966455326097,1.7049798506757234,1.4613966455326097,1.0562919542720726,-1.6794762528265117,34562.41,34510.28,15.082860251933727,5.082860251933727,-4.917139748066273
2023-11-17,B_REPLICATION_2023,2023-11-17T18:00:00+00:00,2023-11-20T18:00:00+00:00,LONG,-3.612616967664408,2.766766407991902,-1.2037213981051498,0.832006565581907,2.4088955695592587,2.558698007506603,2.4088955695592587,0.6744907594765952,-0.1988629901872154,36500.0,37576.65,294.97260273972705,284.97260273972705,274.97260273972705
2023-12-07,B_REPLICATION_2023,2023-12-07T18:00:00+00:00,2023-12-10T18:00:00+00:00,SHORT,3.72504005222972,2.766766407991902,4.399530811706307,0.26270737463385097,0.6744907594765872,2.7906410621398967,0.6744907594765872,0.6744907594765952,-1.2273528668897409,43419.03,43821.08,-92.59764670007664,-102.59764670007664,-112.59764670007664
2023-12-10,B_REPLICATION_2023,2023-12-10T18:00:00+00:00,2023-12-13T18:00:00+00:00,SHORT,3.7189335710447233,2.7943196168031665,2.8005215892251902,-0.9184119818195329,-1.0117361392148927,2.7103476964220006,-0.9184119818195329,3.0603749667335007,-1.0212812460479852,43821.08,42118.6,388.5070838053295,378.5070838053295,368.5070838053295
2023-12-15,B_REPLICATION_2023,2023-12-15T18:00:00+00:00,2023-12-18T18:00:00+00:00,LONG,-3.6397028932059516,2.843376786178419,-1.707939049102285,-0.5635245010941674,2.0234722784297854,1.9317638441036666,1.9317638441036666,0.6744907594765952,-1.0212812460479852,41855.05,41385.01,-112.30186082683002,-122.30186082683002,-132.30186082683002
2024-01-15,C_REPLICATION_2024,2024-01-15T18:00:00+00:00,2024-01-18T18:00:00+00:00,LONG,-3.2741543577066983,2.9051104500072364,-1.7594708003163764,-1.3434529061705964,1.8211250505868166,1.5146835573903217,1.5146835573903217,0.07463133924012326,0.6424873213021722,42696.57,41816.71,-206.07275947459036,-216.07275947459036,-226.07275947459036
2024-02-14,C_REPLICATION_2024,2024-02-14T18:00:00+00:00,2024-02-17T18:00:00+00:00,SHORT,3.26481591594055,2.9324435366873582,3.475228046247662,1.2062293440521603,-1.7536759746391477,0.21041213030711187,0.21041213030711187,0.15825923986485765,3.8113066692281636,51663.99,51215.58,86.79352872280943,76.79352872280943,66.79352872280943
2024-02-29,C_REPLICATION_2024,2024-02-29T18:00:00+00:00,2024-03-03T18:00:00+00:00,SHORT,3.0200830025443475,2.935530171864701,3.3525705636473337,0.33248756110298633,0.032118607594122765,1.0174769355289173,0.33248756110298633,5.0,3.6780396670912117,60982.35,62570.01,-260.34746119164123,-270.34746119164123,-280.34746119164123
2024-11-12,C_REPLICATION_2024,2024-11-12T18:00:00+00:00,2024-11-15T18:00:00+00:00,SHORT,3.1433459060514743,2.7499553011686597,3.158571431096093,0.015225525044618642,-0.5901794145420152,2.095100970436024,0.015225525044618642,5.0,-0.35492315959332066,86966.07,89484.84,-289.6267475349856,-299.6267475349856,-309.6267475349856
